uid,model,params_b,size_bucket,dataset,variant,prompt_language,eid,faithfulness_stratum,triples,sentence,judge_faithfulness_score,judge_incorrect_information
gpt-oss-120b__cs-qa_fi_cs__Id444,gpt-oss-120b,117.0,large,cs-qa,fi,cs,Id444,2-4,"- Jan Patočka | isA | český filosof
- Jan Patočka | activeInCentury | 26-12-1994",Jan Patočka je český filosof a působil v století 26-12-1994.,4,"[{""info_used"": ""působil v století 26-12-1994"", ""correct_info"": ""Jan Patočka | activeInCentury | 26-12-1994"", ""comment"": ""unsupported: The sentence says 'působil v století 26-12-1994' (worked in the century 26-12-1994), which misinterprets the triple. The triple states 'activeInCentury' with object '26-12-1994', which is a date, not a century. The sentence adds 'století' (century) which is not supported by the triple.""}]"
tiny-aya-global__sk-qa_fi_cs__Id24,tiny-aya-global,3.35,small,sk-qa,fi,cs,Id24,5,"- Údajné odpočúvanie | subject | Cyprián Duchoň
- Údajné odpočúvanie | leadsTo | Kauza Gorila","Cyprián Duchoň byl údajně zapojen do odpočování, což vedlo k kauze Gorila.",5,[]
qwen3_5-9b__sk-qa_fi_cs__Id314,qwen3_5-9b,9.7,small,sk-qa,fi,cs,Id314,5,"- Suchodolské Kopanice | firstPrimeMinister | Vladimír Mečiar
- Vladimír Mečiar | position | predseda vlády",Vladimír Mečiar byl prvním předsedou vlády v Suchodolských Kopanicích.,5,[]
gemma4-31B__sk-qa_fi_cs__Id85,gemma4-31B,30.7,medium,sk-qa,fi,cs,Id85,1,"- Michal Dočolomanský | performedRole | Mária Ondrejková
- Mária Ondrejková | isTitleRoleIn | Na skle maľované
- Na skle maľované | isType | divadelná hra","Michal Dočolomanský z memainkan roli Mária Ondrejková, která je titulní rolí v divadelní hře Na skle maľované.",1,"[{""info_used"": ""Michal Dočolomanský z memainkan roli Mária Ondrejková, která je titulní rolí v divadelní hře Na skle maľované."", ""correct_info"": ""The sentence is not written in Czech."", ""comment"": ""wrong_language""}]"
qwen3_5-9b__cs-qa_fi_cs__Id300,qwen3_5-9b,9.7,small,cs-qa,fi,cs,Id300,5,"- Zemský úřad | previousLocation | Město Světlo
- Zemský úřad | previousSeat | Místodržitelský palác",Zemský úřad měl předchozí sídlo v Místodržitelském paláci a předchozí lokalitu v Městě Světlo.,5,[]
qwen3_5-9b__sk-qa_fi_cs__Id454,qwen3_5-9b,9.7,small,sk-qa,fi,cs,Id454,5,"- Medzinárodný festival Magicfestival | location | Sitnianský okres
- Medzinárodný festival Magicfestival | eventType | festival","Medzinárodný festival Magicfestival, který je typem festivalu, se koná v Sitnianském okrese.",5,[]
gemma4-31B__cs-qa_fi_cs__Id323,gemma4-31B,30.7,medium,cs-qa,fi,cs,Id323,1,"- Simona Hrušková | nationality | Český
- Simona Hrušková | profession | legendární herec
- Simona Hrušková | numberOfRoles | 150
- Simona Hrušková | awardReceived | Cena Thálie
- Cena Thálie | awardYear | 1993
- Cena Thálie | awardReason | celoživotní mistrovství","Simona Hrušková je Český legendární herec, který z memainkanou 150 rolí získal v roce 1993 Cenu Thálie za celoživotní mistrovství.",1,"[{""info_used"": ""z memainkanou"", ""correct_info"": ""The sentence contains a non-Czech word 'memainkanou'."", ""comment"": ""wrong_language""}]"
llama4-scout__sk-qa_fi_cs__Id338,llama4-scout,17.0,medium,sk-qa,fi,cs,Id338,5,"- Zlatý roh | locationOf | orztrúsené osídlenia
- orztrúsené osídlenia | called | kopanice","Zlatý roh je místem, kde se nacházejí orztrúsené osídlenia, které jsou také nazývány kopanice.",5,[]
llama4-scout__sk-qa_fi_en__Id304,llama4-scout,17.0,medium,sk-qa,fi,en,Id304,5,"- Renata Vaculová | profession | Herec
- Renata Vaculová | dedicatedTo | herectvo","Renata Vaculová is a Herec, and she is dedicated to herectvo. Alternatively: Renata Vaculová is a herec and dedicates herself to acting.",5,[]
gemma4-e2b__cs-qa_fi_en__Id473,gemma4-e2b,5.1,small,cs-qa,fi,en,Id473,5,"- legenda | describesEvent | zabil svatého Václava
- Boleslav | relationship | bratr svatého Václava
- Boleslav | hasAssociates | jeho družina
- Boleslav se svoji družinou | action | zabil
- zabil | object | Petra Roubíčková",Legenda describesEvent zabil svatého Václava. Boleslav is the brother of svatého Václava. Boleslav hasAssociates jeho družina. Boleslav killed Petra Roubíčková with his družina.,5,"[{""info_used"": ""Legenda describesEvent zabil svatého Václava."", ""correct_info"": ""legenda | describesEvent | zabil svatého Václava"", ""comment"": ""unsupported: The sentence uses 'describesEvent' as a verb, which is not a natural English phrasing and does not clearly convey the triple's meaning. However, the core claim that 'Legenda' describes the event 'zabil svatého Václava' is present, but the wording is awkward. The main issue is that the sentence is not a fully natural English sentence, but it is not a raw triple either. The grammar is mostly English, so it's not wrong_language. The claim is essentially supported, but the phrasing is borderline. No penalty for this alone.""}, {""info_used"": ""Boleslav is the brother of svatého Václava."", ""correct_info"": ""Boleslav | relationship | bratr svatého Václava"", ""comment"": ""unsupported: The triple states 'Boleslav | relationship | bratr svatého Václava', which means Boleslav has the relationship 'bratr svatého Václava' (brother of svatého Václava). The sentence 'Boleslav is the brother of svatého Václava' is a faithful paraphrase.""}, {""info_used"": ""Boleslav hasAssociates jeho družina."", ""correct_info"": ""Boleslav | hasAssociates | jeho družina"", ""comment"": ""unsupported: The sentence uses 'hasAssociates' as a verb, which is not natural English. The claim is essentially supported, but the phrasing is awkward. No penalty for this alone.""}, {""info_used"": ""Boleslav killed Petra Roubíčková with his družina."", ""correct_info"": ""Boleslav se svoji družinou | action | zabil; zabil | object | Petra Roubíčková"", ""comment"": ""unsupported: The triples state that 'Boleslav se svoji družinou' (Boleslav with his retinue) performed the action 'zabil' (killed), and the object of 'zabil' is 'Petra Roubíčková'. The sentence 'Boleslav killed Petra Roubíčková with his družina' accurately conveys this, though 'družina' is not translated. This is acceptable as a name/term copied from the triple.""}]"
qwen3_5-122b__cs-qa_fi_en__Id150,qwen3_5-122b,125.0,large,cs-qa,fi,en,Id150,5,"- Česko | usesPausalRateFor | jiných nez řemeslných živností
- jiných nez řemeslných živností | pausalRateForExpenses | 2501","Česko uses the pausal rate for jiných nez řemeslných živností, and the pausal rate for expenses for jiných nez řemeslných živností is 2501.",5,[]
tiny-aya-global__cs-qa_fi_en__Id521,tiny-aya-global,3.35,small,cs-qa,fi,en,Id521,2-4,"- Otto Wichterle | placeOfOrigin | Prostějov
- Jiří Wolker | placeOfOrigin | Prostějov
- Prostějov | locatedIn | Kovárna","Prostějov, a city in the Czech Republic, is the birthplace of both Otto Wichterle, a renowned physicist, and Jiří Wolker, a celebrated poet.",4,"[{""info_used"": ""Prostějov, a city in the Czech Republic"", ""correct_info"": ""Prostějov | locatedIn | Kovárna"", ""comment"": ""unsupported: The sentence claims Prostějov is located in the Czech Republic, but the triple states it is located in Kovárna.""}]"
gemma4-31B__sk-qa_fi_en__Id1,gemma4-31B,30.7,medium,sk-qa,fi,en,Id1,5,- UFO most | completionYear | 11-09-2025,The completion year of UFO most is 11-09-2025.,5,[]
gemma4-31B__sk-qa_fi_en__Id306,gemma4-31B,30.7,medium,sk-qa,fi,en,Id306,5,"- Bazilika Sedembolestnej Panny Márie | locatedIn | Bystrický kraj
- Bystrický kraj | isA | pútnicky významné mesto
- Bystrický kraj | locatedIn | Slovensko","Bazilika Sedembolestnej Panny Márie is located in Bystrický kraj, which is a pútnicky významné mesto located in Slovensko.",5,[]
gpt-oss-120b__cs-qa_fi_en__Id163,gpt-oss-120b,117.0,large,cs-qa,fi,en,Id163,2-4,"- Lažany | locatedIn | Třebčice
- Třebčice | isType | okres","Lažany is located in Třebčice, which is a district.",4,"[{""info_used"": ""which is a district"", ""correct_info"": ""Třebčice | isType | okres"", ""comment"": ""over_specific: 'district' is a plausible translation of 'okres' but not explicitly supported by the triple; the triple only states the type is 'okres' without specifying it as a district.""}]"
llama4-scout__cs-qa_fi_en__Id156,llama4-scout,17.0,medium,cs-qa,fi,en,Id156,2-4,"- Odrůda David | isCultivarOf | hrušeň
- Odrůda David | breedingLocation | Česko
- Odrůda David | ripeningMonth | 23-05-2024","The apple cultivar 'Odrůda David' is a cultivar of the pear, was bred in Česko, and is set to ripen on 23-05-2024.",4,"[{""info_used"": ""The apple cultivar 'Odrůda David' is a cultivar of the pear"", ""correct_info"": ""Odrůda David | isCultivarOf | hrušeň"", ""comment"": ""unsupported: the sentence adds 'apple cultivar' and 'pear', but the triple only states it is a cultivar of 'hrušeň' (pear tree), not that it is an apple cultivar or that the object is simply 'pear'.""}]"
llama4-scout__cs-qa_fi_en__Id69,llama4-scout,17.0,medium,cs-qa,fi,en,Id69,5,"- Jana Sklenářová | authorOf | balady
- Jana Sklenářová | action | zveřejnil
- Jana Sklenářová | requestedAction | zhudebnění
- široká veřejnost | targetOfRequest | zhudebnění
- balady | objectOf | zhudebnění","Jana Sklenářová authored ""balady"" and performed the action of zveřejnil, having requested the musical setting (zhudebnění) of ""balady"", which was intended for the široká veřejnost.",5,"[{""info_used"": ""Jana Sklenářová authored \""balady\"""", ""correct_info"": ""Jana Sklenářová | authorOf | balady"", ""comment"": ""supported""}, {""info_used"": ""performed the action of zveřejnil"", ""correct_info"": ""Jana Sklenářová | action | zveřejnil"", ""comment"": ""supported""}, {""info_used"": ""having requested the musical setting (zhudebnění) of \""balady\"""", ""correct_info"": ""Jana Sklenářová | requestedAction | zhudebnění; balady | objectOf | zhudebnění"", ""comment"": ""supported""}, {""info_used"": ""which was intended for the široká veřejnost"", ""correct_info"": ""široká veřejnost | targetOfRequest | zhudebnění"", ""comment"": ""supported""}]"
gpt-oss-120b__sk-qa_fi_en__Id92,gpt-oss-120b,117.0,large,sk-qa,fi,en,Id92,5,- Roman Uhliar | achievedInField | fyzika,Roman Uhliar achieved in the field of physics.,5,"[{""info_used"": ""achieved in the field of physics"", ""correct_info"": ""Roman Uhliar | achievedInField | fyzika"", ""comment"": ""over_specific: 'physics' is a translation of 'fyzika', but the triple uses the exact term 'fyzika'. The meaning is preserved, so this is not an error. However, the sentence omits the object 'fyzika' and replaces it with a translation, which is acceptable. No error.""}]"
gpt-oss-120b__cs-qa_fi_en__Id3,gpt-oss-120b,117.0,large,cs-qa,fi,en,Id3,5,"- svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem
- svátek svatého Mikuláše | celebrationDate | 28-02-1991
- svátek svatého Mikuláše | celebrationTime | večer","The svátek svatého Mikuláše is associated with giving gifts to children, and it is celebrated on 28-02-1991 in the evening.",5,"[{""info_used"": ""giving gifts to children"", ""correct_info"": ""rozdávání dárků dětem"", ""comment"": ""unsupported: the sentence paraphrases the object as 'giving gifts to children', which is a faithful translation of the triple's object 'rozdávání dárků dětem'.""}]"
qwen3_5-122b__cs-qa_fi_en__Id387,qwen3_5-122b,125.0,large,cs-qa,fi,en,Id387,5,"- Československá automobilová doprava | providesService | autobusová doprava
- Československá automobilová doprava | operatesIn | Československo
- Československá automobilová doprava | activeDuring | 1949-01-01
- Československá automobilová doprava | activeUntil | 21-05-2026
- Československo | politicalEra | socialismus","Československá automobilová doprava provides autobusová doprava in Československo, where the political era is socialismus; it was active from 1949-01-01 until 21-05-2026.",5,[]
qwen3_5-122b__cs-qa_fi_en__Id407,qwen3_5-122b,125.0,large,cs-qa,fi,en,Id407,5,"- Ivana Doležalová | militaryRank | divizní generál
- Ivana Doležalová | nationality | Československý
- Ivana Doležalová | convictionDate | 1949
- Ivana Doležalová | sentence | trest smrtí
- Ivana Doležalová | trialType | vykonstruovaný soudní proces","Ivana Doležalová, a Czechoslovak national with the military rank of divizní generál, was sentenced to trest smrtí in 1949 following a vykonstruovaný soudní proces.",5,[]
gemma4-31B__cs-qa_fi_en__Id264,gemma4-31B,30.7,medium,cs-qa,fi,en,Id264,5,- Olga Březinová | isA | významný teolog,Olga Březinová is a prominent theologian.,5,[]
qwen3_5-9b__cs-qa_fi_en__Id473,qwen3_5-9b,9.7,small,cs-qa,fi,en,Id473,2-4,"- legenda | describesEvent | zabil svatého Václava
- Boleslav | relationship | bratr svatého Václava
- Boleslav | hasAssociates | jeho družina
- Boleslav se svoji družinou | action | zabil
- zabil | object | Petra Roubíčková","Boleslav, the brother of Saint Wenceslaus, killed Saint Wenceslaus with his retinue, and the object of this killing was Petra Roubíčková.",2,"[{""info_used"": ""Boleslav, the brother of Saint Wenceslaus, killed Saint Wenceslaus with his retinue"", ""correct_info"": ""legenda | describesEvent | zabil svatého Václava; Boleslav | relationship | bratr svatého Václava; Boleslav | hasAssociates | jeho družina; Boleslav se svoji družinou | action | zabil; zabil | object | Petra Roubíčková"", ""comment"": ""unsupported: The triples do not state that Boleslav killed Saint Wenceslaus. The event 'zabil svatého Václava' is described by 'legenda', and the action 'zabil' by 'Boleslav se svoji družinou' has object 'Petra Roubíčková', not Saint Wenceslaus.""}, {""info_used"": ""the object of this killing was Petra Roubíčková"", ""correct_info"": ""zabil | object | Petra Roubíčková"", ""comment"": ""unsupported: The sentence implies the killing of Saint Wenceslaus had object Petra Roubíčková, but the triple states the action 'zabil' (by Boleslav and his retinue) has object Petra Roubíčková, not that the killing of Saint Wenceslaus had that object.""}]"
qwen3-1_7b__cs-qa_fi_en__Id120,qwen3-1_7b,1.7,small,cs-qa,fi,en,Id120,5,"- Období politických změn v Československu | hasName | Sametová revoluce
- Období politických změn v Československu | startDate | 1989-11-17
- Období politických změn v Československu | endDate | 05-06-2010
- Období politických změn v Československu | location | Československo",The political changes in Czechoslovakia lasted from 1989-11-17 to 05-06-2010 and took place in Czechoslovakia.,5,[]
gemma4-31B__sk-qa_fi_en__Id9,gemma4-31B,30.7,medium,sk-qa,fi,en,Id9,5,- Bardejov | isCenterOf | Sitnica,Bardejov is the center of Sitnica.,5,[]
qwen3-1_7b__sk-qa_fi_en__Id93,qwen3-1_7b,1.7,small,sk-qa,fi,en,Id93,5,"- Tiesňava Kyseľ | locatedIn | Dúbravské Zálesie
- Dúbravské Zálesie | isA | horské pásmo","Tiesňava Kyseľ is located in Dúbravské Zálesie, which is a horské pásmo.",5,[]
qwen3_5-122b__sk-qa_fi_en__Id222,qwen3_5-122b,125.0,large,sk-qa,fi,en,Id222,5,"- slovenské Tatry | contains | Turiansky roh
- Turiansky roh | isLargest | pleso
- Turiansky roh | location | slovenské Tatry","Turiansky roh, which is located in the slovenské Tatry that also contains it, is the largest pleso.",5,[]
tiny-aya-global__sk-qa_fi_en__Id368,tiny-aya-global,3.35,small,sk-qa,fi,en,Id368,5,"- Zálesná Poruba | isConsidered | neoficiálny symbol Slovenska
- Zálesná Poruba | isMentionedIn | slovenská literatúra",Zálesná Poruba is a neoficiálny symbol of Slovakia and is mentioned in Slovak literature.,5,[]
gemma4-e2b__sk-qa_fi_en__Id428,gemma4-e2b,5.1,small,sk-qa,fi,en,Id428,2-4,"- západný okraj | locationOf | Suchodolské Kopanice
- Bojnický zámok | locatedAt | západný okraj","The Bojnický zámok is located at the západný okraj, which is the location of Suchodolské Kopanice.",2,"[{""info_used"": ""the západný okraj, which is the location of Suchodolské Kopanice"", ""correct_info"": ""západný okraj | locationOf | Suchodolské Kopanice"", ""comment"": ""reverse: The sentence says západný okraj is the location of Suchodolské Kopanice, but the triple states západný okraj is the location OF Suchodolské Kopanice, meaning Suchodolské Kopanice is located at západný okraj. The roles are swapped.""}]"
gemma4-31B__cs-qa_fi_en__Id112,gemma4-31B,30.7,medium,cs-qa,fi,en,Id112,2-4,"- Český seriál Sňatky z rozumu | hasTheme | české vlastenectví
- české vlastenectví | timePeriod | 14-07-2005
- Český seriál Sňatky z rozumu | addressesCircumstances | tzv. národní obrození","The Czech series Sňatky z rozumu addresses the circumstances of the so-called national revival and has the theme of Czech patriotism, which has the time period 14-07-2005.",4,"[{""info_used"": ""has the time period 14-07-2005"", ""correct_info"": ""české vlastenectví | timePeriod | 14-07-2005"", ""comment"": ""wrong_object: The sentence attributes the time period to the series, but the triple states it belongs to the theme 'české vlastenectví'.""}]"
gpt-oss-120b__sk-qa_fi_en__Id391,gpt-oss-120b,117.0,large,sk-qa,fi,en,Id391,5,- Zálomská dolina | isHighestLocated | pleso,Zálomská dolina is highest located in pleso.,5,[]
gemma4-31B__sk-qa_fi_en__Id488,gemma4-31B,30.7,medium,sk-qa,fi,en,Id488,5,"- Tajná služba | operatesIn | Sokolia skala
- Tajná služba | name | Slovenská informačná služba","Slovenská informačná služba, named Tajná služba, operates in Sokolia skala.",5,[]
llama4-scout__sk-qa_fi_en__Id429,llama4-scout,17.0,medium,sk-qa,fi,en,Id429,5,"- Jožo Ráž | isFounderOf | Elán
- Vašo Patejdl | isFounderOf | Elán
- Juraj Farkaš | isFounderOf | Elán
- Slavěna Vrábľová | isFounderOf | Elán","Jožo Ráž, Vašo Patejdl, Juraj Farkaš, and Slavěna Vrábľová are the founders of Elán.",5,[]
qwen3_5-122b__cs-qa_fi_en__Id3,qwen3_5-122b,125.0,large,cs-qa,fi,en,Id3,1,"- svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem
- svátek svatého Mikuláše | celebrationDate | 28-02-1991
- svátek svatého Mikuláše | celebrationTime | večer","Svátek svatého Mikuláše je spojen s rozdávání dárků dětem, slaví se večer a jeho datum je 28-02-1991.",1,"[{""info_used"": ""Svátek svatého Mikuláše je spojen s rozdávání dárků dětem, slaví se večer a jeho datum je 28-02-1991."", ""correct_info"": ""The sentence is not in English."", ""comment"": ""wrong_language""}]"
qwen3_5-122b__cs-qa_fi_en__Id414,qwen3_5-122b,125.0,large,cs-qa,fi,en,Id414,5,"- Libuše | isCharacterFrom | české pověsti
- Libuše | hasFather | Krok
- Libuše | hasSister | Kazi
- Libuše | hasSister | Petra Roubíčková
- Libuše | isMythical | česká kněžna
- Libuše | isSpouseOf | Přemysl Oráč","Libuše is a mythical Czech princess and a character from české pověsti, the daughter of Krok, the sister of Kazi and Petra Roubíčková, and the spouse of Přemysl Oráč.",5,"[{""info_used"": ""Libuše is a mythical Czech princess"", ""correct_info"": ""Libuše | isMythical | česká kněžna"", ""comment"": ""over_specific: 'česká kněžna' means 'Czech princess/duchess', but the sentence adds 'mythical' which is supported, but the translation 'princess' is acceptable. However, the triple object is 'česká kněžna', not 'Czech princess'. This is a minor translation/paraphrase, not an error. Actually, 'princess' is a valid translation of 'kněžna'. No error.""}]"
gpt-oss-120b__sk-qa_fi_en__Id179,gpt-oss-120b,117.0,large,sk-qa,fi,en,Id179,5,- Barbora Malá | profession | kanoistika,Barbora Malá’s profession is canoeing.,5,[]
qwen3-1_7b__cs-qa_fi_en__Id150,qwen3-1_7b,1.7,small,cs-qa,fi,en,Id150,5,"- Česko | usesPausalRateFor | jiných nez řemeslných živností
- jiných nez řemeslných živností | pausalRateForExpenses | 2501",Česko uses a pausal rate of 2501 for jiných nez řemeslných živností.,5,[]
llama4-scout__cs-qa_fi_en__Id150,llama4-scout,17.0,medium,cs-qa,fi,en,Id150,5,"- Česko | usesPausalRateFor | jiných nez řemeslných živností
- jiných nez řemeslných živností | pausalRateForExpenses | 2501","Česko uses a pausal rate for other non-craft businesses, for which the pausal rate for expenses is 2501.",5,[]
qwen3_5-9b__cs-qa_fi_en__Id498,qwen3_5-9b,9.7,small,cs-qa,fi,en,Id498,5,"- hrad Veveří | location | ostroh
- ostroh | locatedAbove | Horní Břehy
- ostroh | near | Brno","Hrad Veveří is located on Ostroh, which is situated above Horní Břehy and near Brno.",5,[]
gpt-oss-120b__sk-qa_fi_en__Id258,gpt-oss-120b,117.0,large,sk-qa,fi,en,Id258,5,- Národná rada Slovenskej republiky | numberOfMembers | 1520,The Národná rada Slovenskej republiky has 1520 members.,5,[]
gemma4-e4b__sk-qa_fi_en__Id363,gemma4-e4b,8.0,small,sk-qa,fi,en,Id363,5,"- Ľupčiansky hrad | locatedNear | Chotárny Vrbovec
- Chotárny Vrbovec | isType | obec","Ľupčiansky hrad is located near Chotárny Vrbovec, which is a village.",5,[]
tiny-aya-global__sk-qa_fi_en__Id358,tiny-aya-global,3.35,small,sk-qa,fi,en,Id358,1,- Roháčsky okres | flowsInto | Dunaj,The澓河流經拉赫瓦斯基區。,1,"[{""info_used"": ""The澓河流經拉赫瓦斯基區。"", ""correct_info"": ""The sentence is not in English."", ""comment"": ""wrong_language""}]"
gemma4-e2b__cs-qa_fi_en__Id497,gemma4-e2b,5.1,small,cs-qa,fi,en,Id497,5,"- Červený hrádek | locatedAt | úpatí Krušných hor
- úpatí Krušných hor | partOf | Rohov","Červený hrádek is located at úpatí Krušných hor, which is part of Rohov.",5,[]
gemma4-31B__cs-qa_fi_en__Id410,gemma4-31B,30.7,medium,cs-qa,fi,en,Id410,2-4,"- Karel Kryl | nationality | Československý
- Karel Kryl | occupation | autor
- Karel Kryl | created | protikomunistické protestní písničky
- Karel Kryl | numberOf | mnoha
- Karel Kryl | released | 06-02-2024
- Karel Kryl | firstLP | Bratříčku zavírej vrátka","Karel Kryl was a Czechoslovak author who created many anti-communist protest songs, released Bratříčku zavírej vrátka as his first LP, and was released on 06-02-2024.",4,"[{""info_used"": ""Karel Kryl was a Czechoslovak author"", ""correct_info"": ""Karel Kryl | nationality | Československý; Karel Kryl | occupation | autor"", ""comment"": ""supported""}, {""info_used"": ""who created many anti-communist protest songs"", ""correct_info"": ""Karel Kryl | created | protikomunistické protestní písničky; Karel Kryl | numberOf | mnoha"", ""comment"": ""supported""}, {""info_used"": ""released Bratříčku zavírej vrátka as his first LP"", ""correct_info"": ""Karel Kryl | firstLP | Bratříčku zavírej vrátka"", ""comment"": ""supported""}, {""info_used"": ""was released on 06-02-2024"", ""correct_info"": ""Karel Kryl | released | 06-02-2024"", ""comment"": ""unsupported: the triple states Karel Kryl released something on that date, not that he was released""}]"
llama4-scout__cs-qa_fi_en__Id295,llama4-scout,17.0,medium,cs-qa,fi,en,Id295,5,"- Novodobá těžba | affects | Kopalnický Dvůr
- Novodobá těžba | resourceType | uran","Novodobá těžba affects Kopalnický Dvůr and is a type of uran resource. Alternatively: Novodobá těžba, which is a uran resource, affects Kopalnický Dvůr.",5,[]
qwen3_5-122b__sk-qa_fi_en__Id152,qwen3_5-122b,125.0,large,sk-qa,fi,en,Id152,5,"- Kamenný roh | isPartOf | Karlova Ves
- Karlova Ves | isCityPartOf | Bratislava","Kamenný roh is part of Karlova Ves, which is a city part of Bratislava.",5,[]
gemma4-e4b__sk-qa_fi_en__Id51,gemma4-e4b,8.0,small,sk-qa,fi,en,Id51,5,"- Kopanická rovina | hasCentralSquare | Námestie Milana Rastislava Štefánika
- Námestie Milana Rastislava Štefánika | isLocatedIn | Kopanická rovina","Námestie Milana Rastislava Štefánika is located in Kopanická rovina, and Kopanická rovina has Námestie Milana Rastislava Štefánika as its central square.",5,[]
llama4-scout__sk-qa_fi_en__Id54,llama4-scout,17.0,medium,sk-qa,fi,en,Id54,2-4,"- Ľubochňa | isLocatedIn | Sokolia skala
- Sokolia skala | isTypeOf | okres","Ľubochňa is located in Sokolia skala, which is a district.",4,"[{""info_used"": ""which is a district"", ""correct_info"": ""Sokolia skala | isTypeOf | okres"", ""comment"": ""unsupported: 'district' is not a faithful translation of 'okres'; the triple states it is a type of 'okres', not a district""}]"
gpt-oss-120b__sk-qa_fi_en__Id24,gpt-oss-120b,117.0,large,sk-qa,fi,en,Id24,5,"- Údajné odpočúvanie | subject | Cyprián Duchoň
- Údajné odpočúvanie | leadsTo | Kauza Gorila","The alleged wiretapping’s subject is Cyprián Duchoň, and it leads to Kauza Gorila.",5,[]
llama4-scout__cs-qa_fi_en__Id272,llama4-scout,17.0,medium,cs-qa,fi,en,Id272,5,- Kozlíkov | locatedAtBorderWith | Rakousko,Kozlíkov is located at a border with Rakousko.,5,[]
qwen3_5-9b__sk-qa_fi_en__Id218,qwen3_5-9b,9.7,small,sk-qa,fi,en,Id218,5,"- Habovka | forms | R1
- R1 | isA | diaľnica","Habovka forms R1, which is a diaľnica.",5,[]
gemma4-e4b__sk-qa_fi_en__Id58,gemma4-e4b,8.0,small,sk-qa,fi,en,Id58,5,"- Banská Štiavnica | locationOf | prvá banská škola v Uhorsku
- prvá banská škola v Uhorsku | foundingDate | 06-11-2000
- prvá banská škola v Uhorsku | country | Uhorsko",The first mining school in Hungary is located in Banská Štiavnica and was founded on 06-11-2000 in Hungary.,5,"[{""info_used"": ""The first mining school in Hungary is located in Banská Štiavnica"", ""correct_info"": ""Banská Štiavnica | locationOf | prvá banská škola v Uhorsku"", ""comment"": ""reverse: The triple states Banská Štiavnica is the location of the school, but the sentence says the school is located in Banská Štiavnica, which is semantically equivalent. However, the triple subject is Banská Štiavnica, and the predicate 'locationOf' means the object is located in the subject. The sentence correctly expresses this, so this is not an error. Re-evaluating: The triple is Banská Štiavnica | locationOf | prvá banská škola v Uhorsku, meaning the school is located in Banská Štiavnica. The sentence says 'The first mining school in Hungary is located in Banská Štiavnica', which matches. No error.""}, {""info_used"": ""was founded on 06-11-2000"", ""correct_info"": ""prvá banská škola v Uhorsku | foundingDate | 06-11-2000"", ""comment"": ""unsupported: The date is directly from the triple, so it is supported. No error.""}, {""info_used"": ""in Hungary"", ""correct_info"": ""prvá banská škola v Uhorsku | country | Uhorsko"", ""comment"": ""unsupported: The triple says the country is Uhorsko, which is the historical name for Hungary. The sentence says 'in Hungary', which is a correct translation. No error.""}]"
gpt-oss-120b__sk-qa_fi_en__Id34,gpt-oss-120b,117.0,large,sk-qa,fi,en,Id34,5,"- Dračie srdce | filmingLocation | Machnica
- Dračie srdce | type | film
- Machnica | type | hrad","The film Dračie srdce was filmed at Machnica, which is a castle.",5,"[{""info_used"": ""which is a castle"", ""correct_info"": ""Machnica | type | hrad"", ""comment"": ""over_specific: 'hrad' is a specific type of castle/fortress; translating it as 'castle' is acceptable, but the sentence adds 'which is a castle' as an unsupported claim if 'hrad' is not exactly 'castle' in English. However, 'hrad' means 'castle', so this is actually supported. Re-evaluating: 'hrad' translates to 'castle', so the claim is supported. No error.""}]"
gemma4-e4b__cs-qa_fi_hsb__Id223,gemma4-e4b,8.0,small,cs-qa,fi,hsb,Id223,5,"- Ctibor Skrýpka | occupation | buditelka
- Ctibor Skrýpka | occupation | spisovatelka
- Ctibor Skrýpka | nationality | česká
- Ctibor Skrýpka | knownFor | autorka
- Domácí kuchařka | author | Ctibor Skrýpka
- Domácí kuchařka | publicationYear | 1826",Ctibor Skrýpka je buditelka. Ctibor Skrýpka je spisovatelka. Ctibor Skrýpka je česká. Ctibor Skrýpka je autorka. Ctibor Skrýpka je autor od Domácí kuchařka. Domácí kuchařka je izdaná v roku 1826.,5,"[{""info_used"": ""Ctibor Skrýpka je autor od Domácí kuchařka"", ""correct_info"": ""Domácí kuchařka | author | Ctibor Skrýpka"", ""comment"": ""reverse: sentence says Ctibor Skrýpka is the author of Domácí kuchařka, but the triple states Domácí kuchařka has author Ctibor Skrýpka, which is semantically equivalent. However, the sentence uses 'autor' (masculine) while the triple uses 'author' (neutral), and the sentence structure 'je autor od' is a valid paraphrase. No reversal. Actually, the triple is Domácí kuchařka | author | Ctibor Skrýpka, meaning Domácí kuchařka has author Ctibor Skrýpka. The sentence 'Ctibor Skrýpka je autor od Domácí kuchařka' means Ctibor Skrýpka is the author of Domácí kuchařka. This is the same relationship, not reversed. So no error here.""}]"
