uid,Annotator,prompt_language,triples,sentence,human_faithfulness_score,judge_faithfulness_score,score_difference,human_faithfulness_reason,judge_incorrect_information
gemma4-31B__cs-qa_fa_sk__Id427,3,sk,"- Funkcionalistický památník | architect | František Lýdie Gahura
- Funkcionalistický památník | openingDate | 1933
- Funkcionalistický památník | location | Zlín
- Funkcionalistický památník | dedicatedTo | Tomáš Baťa","Funkcionalistický památník v Zlíne navrhol František Lýdie Gahura, bol otvorený v roku 1933 a je venovaný Tomášovi Baťovi.",5,5,0,should translate památník,[]
gemma4-e2b__sk-qa_fa_sk__Id445,3,sk,"- Strečno | locatedIn | Váh River Valley
- Váh | riverType | River","Váh je řekou, ktorá sa nachádza v Váh River Valley.",3,3,0,Strecno missing,"[{""info_used"": ""Váh je řekou, ktorá sa nachádza v Váh River Valley"", ""correct_info"": ""Váh | riverType | River; Strečno | locatedIn | Váh River Valley"", ""comment"": ""unsupported: The sentence claims Váh is located in Váh River Valley, but the triple states Strečno is located there. The riverType triple is supported.""}]"
gpt-oss-120b__cs-qa_fa_sk__Id488,3,sk,"- Jan Nepomucký | position | generální vikář
- Jan Nepomucký | associatedWith | pražský arcibiskup
- Jan Nepomucký | origin | Nepomuk
- Jan Nepomucký | laterStatus | svatořečen","Jan Nepomucký bol generálnym vikárom, bol spojený s pražským arcibiskupom, pochádzal z Nepomuku a neskôr bol svätým rehoľníkom.",4,4,0,reholnik unsupported,"[{""info_used"": ""neskôr bol svätým rehoľníkom"", ""correct_info"": ""Jan Nepomucký | laterStatus | svatořečen"", ""comment"": ""wrong_predicate: The triple says he was canonized (svatořečen), not that he became a holy monk (svätý rehoľník).""}]"
qwen3_5-9b__cs-qa_cf_sk__Id358,3,sk,- Václavské náměstí | locatedIn | NP České Švýcarsko,Václavské náměstí sa nachádza v NP České Švýcarsko.,5,5,0,should translate namesti,[]
llama4-scout__sk-qa_fi_cs__Id77,1,cs,"- Na love | hasModerator | Anzelm Balgha
- Na love | isType | televízna relácia
- Na love | hasLanguage | slovenská","Na love je televízna relácia, ktorá má moderátora Anzelma Balghu a je vysielaná v slovenskej reči.",1,1,0,,"[{""info_used"": ""Na love je televízna relácia, ktorá má moderátora Anzelma Balghu a je vysielaná v slovenskej reči."", ""correct_info"": ""The sentence is written in Slovak, not Czech."", ""comment"": ""wrong_language""}]"
gemma4-e4b__cs-qa_fi_cs__Id306,1,cs,"- Gavrilo Princip | occupation | atentátník
- Gavrilo Princip | isFamous | true
- Gavrilo Princip | wasImprisonedIn | Ostrovní Vršek","Gavrilo Princip byl atentátník, je slavný a byl vězněn na Ostrovní Vršek.",5,5,0,,[]
gemma4-31B__sk-qa_fi_cs__Id376,1,cs,- Bohuš Trubač | hasAlias | Šoko,Bohuš Trubač má alias Šoko.,5,5,0,,[]
qwen3_5-122b__cs-qa_fi_cs__Id401,1,cs,"- Müllerova vila | architecturalStyle | funkcionalistická
- Müllerova vila | location | Kovárna
- Müllerova vila | architect | Adolf Loos
- Müllerova vila | type | vila
- Müllerova vila | attribute | luxusní","Müllerova vila je luxusní funkcionalistická vila typu vila, kterou navrhl Adolf Loos a která se nachází v Kovárně.",5,5,0,,[]
gpt-oss-120b__sk-qa_fi_cs__Id291,1,cs,"- Teodor Bahnárik | totalOlympicGoldMedals | 3
- Teodor Bahnárik | representsCountry | Slovensko",Teodor Bahnárik má celkem 3 olympijské zlaté medaile a zastupuje Slovensko.,5,5,0,,[]
gemma4-31B__sk-qa_fi_cs__Id149,1,cs,- rieka Ipeľ | sourceLocation | Mokrá Lehôtka,Řeka Ipeľ má svůj pramen v Mokrá Lehôtka.,5,5,0,,[]
gpt-oss-120b__cs-qa_fi_cs__Id454,1,cs,- Divadelní fakulta Akademie múzických umění v Praze (DAMU) | currentLocation | Mlynářov,Divadelní fakulta Akademie múzických umění v Praze (DAMU) má současnou polohu Mlynářov.,5,5,0,,[]
gpt-oss-120b__sk-qa_fi_cs__Id12,1,cs,"- Veľký Kôprovec | sourceLocation | Gbeľany
- Gbeľany | isType | obec",Veľký Kôprovec má zdrojové umístění Gbeľany a Gbeľany je obec.,5,5,0,,[]
gpt-oss-120b__sk-qa_fi_cs__Id421,1,cs,- Univerzita Komenského v Bratislave | isOldestUniversityIn | Studenická dolina,Univerzita Komenského v Bratislave je nejstarší univerzitou ve Studenické dolině.,5,5,0,,[]
gemma4-e4b__sk-qa_fi_cs__Id454,1,cs,"- Medzinárodný festival Magicfestival | location | Sitnianský okres
- Medzinárodný festival Magicfestival | eventType | festival",Medzinárodní festival Magicfestival je festival a koná se v Sitnianském okrese.,5,5,0,,"[{""info_used"": ""Medzinárodní festival Magicfestival"", ""correct_info"": ""Medzinárodný festival Magicfestival"", ""comment"": ""wrong_language: the sentence uses Czech grammar and wording (\""Medzinárodní\"", \""je\"", \""koná se v\"") but the subject name is slightly altered from the triple's Slovak form; however, the main issue is that the sentence's own grammar is in Czech, not Slovak, and the target language is Czech, so this is not a wrong language issue. Actually, the target language is Czech, and the sentence is in Czech, so this is correct. The name change is minor and does not alter identity. No error.""}]"
llama4-scout__cs-qa_fi_cs__Id150,1,cs,"- Česko | usesPausalRateFor | jiných nez řemeslných živností
- jiných nez řemeslných živností | pausalRateForExpenses | 2501","Česko používá paušální sazbu pro jiné než řemeslné živnosti, pro které je paušální sazba pro výdaje 2501.",5,5,0,,[]
gemma4-e2b__cs-qa_cf_cs__Id325,1,cs,"- Československý válečný kříž 1939 | isA | vojenské vyznamenání
- Československý válečný kříž 1939 | country | Liberecký kraj
- Československý válečný kříž 1939 | awardedFor | prokázání vynikajícího činu v nebezpečí života
- Československý válečný kříž 1939 | awardedFor | obětování života
- Československý válečný kříž 1939 | foundingDate | 1939","Československý válečný kříž 1939 je vojenské vyznamenání, které byl založen v roce 1939 a byl udělen za prokázání vynikajícího činu v nebezpečí života a obětování života v Libereckém kraji.",4,4,0,,"[{""info_used"": ""byl udělen za prokázání vynikajícího činu v nebezpečí života a obětování života v Libereckém kraji"", ""correct_info"": ""Československý válečný kříž 1939 | country | Liberecký kraj"", ""comment"": ""unsupported: The sentence claims the award was given for actions in Liberecký kraj, but the triple only states the award's country is Liberecký kraj, not that the awarded actions occurred there.""}]"
llama4-scout-openrouter__sk-qa_fa_cs__Id344,1,cs,"- Kremnica | knownFor | Tazba Zlata
- Tazba Zlata | material | Zlato","Kremnica je známá pro těžbu zlata, které je materiálem těžby.",5,5,0,,[]
gemma4-31B__cs-qa_cf_cs__Id384,1,cs,"- Nejstarší dochovaný most v Česku | location | Písek
- Nejstarší dochovaný most v Česku | country | Prášilské",Nejstarší dochovaný most v Česku se nachází v Písku a v zemi Prášilské.,5,5,0,,"[{""info_used"": ""v zemi Prášilské"", ""correct_info"": ""Nejstarší dochovaný most v Česku | country | Prášilské"", ""comment"": ""unsupported: 'v zemi Prášilské' implies Prášilské is a country, but the triple states it is the country of the bridge, which is a valid claim. The sentence is fully supported.""}]"
gemma4-31B__sk-qa_cf_cs__Id176,1,cs,- Pamätná izba Jána Hollého | location | Galanta,Pamätná izba Jána Hollého se nachází v Galanta.,5,5,0,,[]
gpt-oss-120b__sk-qa_cf_cs__Id253,1,cs,- Oravské Beskydy | highestPeak | Bánskobystrický kraj,Nejvyšším vrcholem Oravských Beskyd je Bánskobystrický kraj.,5,5,0,,[]
llama4-scout__sk-qa_fi_en__Id304,3,en,"- Renata Vaculová | profession | Herec
- Renata Vaculová | dedicatedTo | herectvo","Renata Vaculová is a Herec, and she is dedicated to herectvo. Alternatively: Renata Vaculová is a herec and dedicates herself to acting.",5,5,0,,[]
qwen3_5-122b__cs-qa_fi_en__Id150,1,en,"- Česko | usesPausalRateFor | jiných nez řemeslných živností
- jiných nez řemeslných živností | pausalRateForExpenses | 2501","Česko uses the pausal rate for jiných nez řemeslných živností, and the pausal rate for expenses for jiných nez řemeslných živností is 2501.",5,5,0,,[]
gemma4-e4b__cs-qa_fa_hsb__Id482,3,hsb,"- Pardubice | knownFor | výroba perníku
- perník | productionLocation | Pardubice",Pardubice je poznata po proizvodnji perníku.,5,5,0,,[]
gemma4-e4b__cs-qa_cf_hsb__Id410,1,hsb,"- Karel Kryl | nationality | Československý
- Karel Kryl | occupation | autor
- Karel Kryl | created | protikomunistické protestní písničky
- Karel Kryl | numberOf | mnoha
- Karel Kryl | released | 1848-01-01
- Karel Kryl | firstLP | Bratříčku zavírej vrátka",Karel Kryl je Československý autor. On je stvoril protikomunistické protestní písničky. On je vydan 1848-01-01. On ma mnoha Bratříčku zavírej vrátka.,3,3,0,,"[{""info_used"": ""On je vydan 1848-01-01."", ""correct_info"": ""Karel Kryl | released | 1848-01-01"", ""comment"": ""wrong_predicate: 'vydan' (published) is not equivalent to 'released' in the context of a person; the triple states the person released something on that date, not that the person was published.""}, {""info_used"": ""On ma mnoha Bratříčku zavírej vrátka."", ""correct_info"": ""Karel Kryl | numberOf | mnoha; Karel Kryl | firstLP | Bratříčku zavírej vrátka"", ""comment"": ""unsupported: The sentence merges two separate triples into a single unsupported claim 'has many Bratříčku zavírej vrátka'. The triples state he has a number 'mnoha' and a first LP 'Bratříčku zavírej vrátka', not that he has many of that LP.""}]"
gemma4-e4b__sk-qa_cf_hsb__Id337,1,hsb,- Majk Spirit | hasRealName | Viliam Polónyi,Majk Spirit ima pravi naziv Viliam Polónyi.,5,5,0,,[]
qwen3-1_7b__cs-qa_fa_hsb__Id8,4,hsb,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát",Karel Gott | nacionalnost | český Karel Gott | držiteľ | zpěvák Karel Gott | odhranuto | Zlatý slavík Karel Gott | počet odhranutí | 1 Zlatý slavík | frekvencia | nejvíckrát,1,1,0,totálně v crashi,"[{""info_used"": ""Karel Gott | nacionalnost | český Karel Gott | držiteľ | zpěvák Karel Gott | odhranuto | Zlatý slavík Karel Gott | počet odhranutí | 1 Zlatý slavík | frekvencia | nejvíckrát"", ""correct_info"": ""The sentence is not a natural-language sentence but keeps the exact pipe-separated RDF format from the source triples."", ""comment"": ""wrong_transform""}]"
gpt-oss-120b__sk-qa_fa_en__Id443,4,en,- ZŤP | abbreviationOf | zdravotne ťažko postihnutý,ZŤP is an abbreviation of severely health-impaired.,5,5,0,,[]
gpt-oss-120b__sk-qa_fa_en__Id106,4,en,"- hokejbal | founder | Jaroslav Melišek
- Jaroslav Melišek | nationality | Slovensko","Floorball was founded by Jaroslav Melišek, whose nationality is Slovensko.",4,4,0,hokejbal není floorball,"[{""info_used"": ""Floorball was founded by Jaroslav Melišek"", ""correct_info"": ""hokejbal | founder | Jaroslav Melišek"", ""comment"": ""wrong_object: The sentence says 'Floorball' but the triple subject is 'hokejbal' (hockeyball), not floorball.""}]"
gemma4-31B__cs-qa_fa_en__Id445,4,en,- Kuks | locatedIn | okres Trutnov,Kuks is located in okres Trutnov.,5,5,0,,[]
llama4-scout-openrouter__sk-qa_fa_en__Id8,4,en,"- Banská Štiavnica | knownFor | Mining
- Mining | resourceType | Kovy
- Kovy | primaryExample | Striebro","Banská Štiavnica is known for mining, which is a type of resource that has Striebro as a primary example.",4,4,0,,"[{""info_used"": ""Striebro as a primary example"", ""correct_info"": ""Kovy | primaryExample | Striebro"", ""comment"": ""unsupported: The sentence claims Striebro is a primary example of the resource type that Mining is, but the triples state Striebro is a primary example of Kovy, not directly of Mining.""}]"
llama4-scout-openrouter__cs-qa_fa_en__Id388,4,en,"- Dlouhé Stráně | isType | přečerpávací vodní elektrárna
- Dlouhé Stráně | location | Hrubý Jeseník
- Dlouhé Stráně | location | Česko
- Dlouhé Stráně | isMost | výkonná","Dlouhé Stráně is a pumped-storage hydroelectric power plant located in Hrubý Jeseník, Česko, and it is the most powerful one.",5,5,0,,[]
qwen3_5-122b__cs-qa_cf_en__Id90,4,en,"- Ondřej Perušič | isPartOf | Zdeněk Svěrák
- David Schweiner | isPartOf | Zdeněk Svěrák
- Zdeněk Svěrák | becameWorldChampionIn | beach volleyball
- Zdeněk Svěrák | becameWorldChampionInYear | 2023","Ondřej Perušič and David Schweiner are part of Zdeněk Svěrák, which became world champion in beach volleyball in 2023.",5,5,0,tady se stalo něco divného,"[{""info_used"": ""Ondřej Perušič and David Schweiner are part of Zdeněk Svěrák, which became world champion in beach volleyball in 2023."", ""correct_info"": ""Ondřej Perušič is part of Zdeněk Svěrák; David Schweiner is part of Zdeněk Svěrák; Zdeněk Svěrák became world champion in beach volleyball in 2023."", ""comment"": ""unsupported: The sentence claims Zdeněk Svěrák became world champion in beach volleyball in 2023, but the triples state Zdeněk Svěrák becameWorldChampionIn beach volleyball and becameWorldChampionInYear 2023, which is fully supported. However, the sentence merges the two separate 'isPartOf' triples into a single claim, which is acceptable, and the 'which' clause correctly attributes the championship to Zdeněk Svěrák. No actual error detected; the sentence is fully faithful.""}]"
qwen3_5-9b__cs-qa_fa_en__Id17,3,en,"- Zlín | location | údolí Dřevnice
- Dřevnice | type | řeka","Zlín is located in the údolí Dřevnice, which is a řeka.",5,5,0,,[]
qwen3_5-122b__cs-qa_fa_en__Id88,3,en,"- Krušné hory | location | severozápad Čech
- Krušné hory | type | pohoří",Krušné hory are a mountain range located in severozápad Čech.,5,5,0,,[]
gemma4-31B__sk-qa_fi_en__Id1,1,en,- UFO most | completionYear | 11-09-2025,The completion year of UFO most is 11-09-2025.,5,5,0,,[]
gemma4-31B__sk-qa_fi_en__Id306,1,en,"- Bazilika Sedembolestnej Panny Márie | locatedIn | Bystrický kraj
- Bystrický kraj | isA | pútnicky významné mesto
- Bystrický kraj | locatedIn | Slovensko","Bazilika Sedembolestnej Panny Márie is located in Bystrický kraj, which is a pútnicky významné mesto located in Slovensko.",5,5,0,,[]
gemma4-e4b__sk-qa_fi_en__Id363,3,en,"- Ľupčiansky hrad | locatedNear | Chotárny Vrbovec
- Chotárny Vrbovec | isType | obec","Ľupčiansky hrad is located near Chotárny Vrbovec, which is a village.",5,5,0,,[]
tiny-aya-global__sk-qa_fi_en__Id358,1,en,- Roháčsky okres | flowsInto | Dunaj,The澓河流經拉赫瓦斯基區。,1,1,0,,"[{""info_used"": ""The澓河流經拉赫瓦斯基區。"", ""correct_info"": ""The sentence is not in English."", ""comment"": ""wrong_language""}]"
gemma4-e2b__cs-qa_fi_en__Id497,3,en,"- Červený hrádek | locatedAt | úpatí Krušných hor
- úpatí Krušných hor | partOf | Rohov","Červený hrádek is located at úpatí Krušných hor, which is part of Rohov.",5,5,0,,[]
llama4-scout__cs-qa_fi_en__Id295,3,en,"- Novodobá těžba | affects | Kopalnický Dvůr
- Novodobá těžba | resourceType | uran","Novodobá těžba affects Kopalnický Dvůr and is a type of uran resource. Alternatively: Novodobá těžba, which is a uran resource, affects Kopalnický Dvůr.",5,5,0,,[]
qwen3_5-122b__sk-qa_fi_en__Id152,3,en,"- Kamenný roh | isPartOf | Karlova Ves
- Karlova Ves | isCityPartOf | Bratislava","Kamenný roh is part of Karlova Ves, which is a city part of Bratislava.",5,5,0,,[]
gemma4-e4b__sk-qa_fi_en__Id51,3,en,"- Kopanická rovina | hasCentralSquare | Námestie Milana Rastislava Štefánika
- Námestie Milana Rastislava Štefánika | isLocatedIn | Kopanická rovina","Námestie Milana Rastislava Štefánika is located in Kopanická rovina, and Kopanická rovina has Námestie Milana Rastislava Štefánika as its central square.",5,5,0,,[]
llama4-scout__cs-qa_fi_en__Id69,3,en,"- Jana Sklenářová | authorOf | balady
- Jana Sklenářová | action | zveřejnil
- Jana Sklenářová | requestedAction | zhudebnění
- široká veřejnost | targetOfRequest | zhudebnění
- balady | objectOf | zhudebnění","Jana Sklenářová authored ""balady"" and performed the action of zveřejnil, having requested the musical setting (zhudebnění) of ""balady"", which was intended for the široká veřejnost.",5,5,0,,"[{""info_used"": ""Jana Sklenářová authored \""balady\"""", ""correct_info"": ""Jana Sklenářová | authorOf | balady"", ""comment"": ""supported""}, {""info_used"": ""performed the action of zveřejnil"", ""correct_info"": ""Jana Sklenářová | action | zveřejnil"", ""comment"": ""supported""}, {""info_used"": ""having requested the musical setting (zhudebnění) of \""balady\"""", ""correct_info"": ""Jana Sklenářová | requestedAction | zhudebnění; balady | objectOf | zhudebnění"", ""comment"": ""supported""}, {""info_used"": ""which was intended for the široká veřejnost"", ""correct_info"": ""široká veřejnost | targetOfRequest | zhudebnění"", ""comment"": ""supported""}]"
gpt-oss-120b__sk-qa_fi_en__Id92,1,en,- Roman Uhliar | achievedInField | fyzika,Roman Uhliar achieved in the field of physics.,5,5,0,,"[{""info_used"": ""achieved in the field of physics"", ""correct_info"": ""Roman Uhliar | achievedInField | fyzika"", ""comment"": ""over_specific: 'physics' is a translation of 'fyzika', but the triple uses the exact term 'fyzika'. The meaning is preserved, so this is not an error. However, the sentence omits the object 'fyzika' and replaces it with a translation, which is acceptable. No error.""}]"
qwen3_5-122b__cs-qa_fi_en__Id387,3,en,"- Československá automobilová doprava | providesService | autobusová doprava
- Československá automobilová doprava | operatesIn | Československo
- Československá automobilová doprava | activeDuring | 1949-01-01
- Československá automobilová doprava | activeUntil | 21-05-2026
- Československo | politicalEra | socialismus","Československá automobilová doprava provides autobusová doprava in Československo, where the political era is socialismus; it was active from 1949-01-01 until 21-05-2026.",5,5,0,,[]
gemma4-31B__cs-qa_fi_en__Id264,1,en,- Olga Březinová | isA | významný teolog,Olga Březinová is a prominent theologian.,5,5,0,,[]
gemma4-31B__sk-qa_fi_en__Id9,1,en,- Bardejov | isCenterOf | Sitnica,Bardejov is the center of Sitnica.,5,5,0,,[]
qwen3-1_7b__sk-qa_fi_en__Id93,3,en,"- Tiesňava Kyseľ | locatedIn | Dúbravské Zálesie
- Dúbravské Zálesie | isA | horské pásmo","Tiesňava Kyseľ is located in Dúbravské Zálesie, which is a horské pásmo.",5,5,0,,[]
qwen3-1_7b__cs-qa_fi_cs__Id43,1,cs,"- Trutnov | hasRiver | Město Světlo
- Město Světlo | flowsThrough | Trutnov",Trutnov má vodní cestu do Města Světlo.,2,2,0,,"[{""info_used"": ""Trutnov má vodní cestu do Města Světlo"", ""correct_info"": ""Trutnov | hasRiver | Město Světlo; Město Světlo | flowsThrough | Trutnov"", ""comment"": ""unsupported: 'vodní cestu do' (waterway to) is not supported by the triples, which state Trutnov has a river named Město Světlo and that Město Světlo flows through Trutnov.""}]"
tiny-aya-global__sk-qa_fi_cs__Id24,1,cs,"- Údajné odpočúvanie | subject | Cyprián Duchoň
- Údajné odpočúvanie | leadsTo | Kauza Gorila","Cyprián Duchoň byl údajně zapojen do odpočování, což vedlo k kauze Gorila.",5,5,0,,[]
qwen3_5-9b__sk-qa_fi_cs__Id314,1,cs,"- Suchodolské Kopanice | firstPrimeMinister | Vladimír Mečiar
- Vladimír Mečiar | position | predseda vlády",Vladimír Mečiar byl prvním předsedou vlády v Suchodolských Kopanicích.,5,5,0,,[]
llama4-scout__sk-qa_fi_cs__Id338,3,cs,"- Zlatý roh | locationOf | orztrúsené osídlenia
- orztrúsené osídlenia | called | kopanice","Zlatý roh je místem, kde se nacházejí orztrúsené osídlenia, které jsou také nazývány kopanice.",5,5,0,,[]
llama4-scout-openrouter__cs-qa_fa_cs__Id187,1,cs,"- České dráhy | isA | železniční dopravce
- České dráhy | country | Česká republika
- České dráhy | sizeRank | největší
- Ministerstvo dopravy České republiky | founded | České dráhy",České dráhy jsou největší železniční dopravce v České republice. Ministerstvo dopravy České republiky bylo založeno společností České dráhy.,2,2,0,,"[{""info_used"": ""Ministerstvo dopravy České republiky bylo založeno společností České dráhy."", ""correct_info"": ""Ministerstvo dopravy České republiky | founded | České dráhy"", ""comment"": ""reverse""}]"
qwen3-1_7b__cs-qa_fa_cs__Id315,1,cs,"- Žofie Chotková | isA | česká šlechtična
- Žofie Chotková | spouseOf | Ferdinand d´Este
- Ferdinand d´Este | isA | následník trůnu
- Ferdinand d´Este | wasAssassinated | true","Žofie Chotková byla českou šlechtičnou a její manželkou byla Ferdinand d´Este, který byl následníkem trůnu a byl zasazený do zbrojí.",2,2,0,,"[{""info_used"": ""její manželkou byla Ferdinand d´Este"", ""correct_info"": ""Žofie Chotková | spouseOf | Ferdinand d´Este"", ""comment"": ""reverse: The sentence says Ferdinand d´Este was her wife (manželkou), but the triple states Žofie is the spouse of Ferdinand, not the other way around, and the gender is wrong.""}, {""info_used"": ""byl zasazený do zbrojí"", ""correct_info"": ""Ferdinand d´Este | wasAssassinated | true"", ""comment"": ""unsupported: The sentence claims he was 'zasazený do zbrojí' (set into armors), which is not supported by the triple stating he was assassinated.""}]"
gemma4-e2b__cs-qa_cf_en__Id274,3,en,- úpatí Krušných hor | isNear | Českých Budějovic,úpatí Krušných hor is near Českých Budějovic.,5,5,0,,[]
gpt-oss-120b__sk-qa_fa_en__Id289,3,en,"- Jozef Karvaš | isA | slovenský hudobník
- Jozef Karvaš | isA | trubkár
- Jozef Karvaš | isKnownFor | Ďez","Jozef Karvaš is a Slovak musician and a trumpeter, and he is known for Ďez.",5,5,0,,[]
llama4-scout-openrouter__sk-qa_fa_en__Id303,3,en,"- Viliama Klimáčka | knownAs | herca
- Viliama Klimáčka | knownAs | scenáristu
- Viliama Klimáčka | knownAs | herca divadla GUnaGU
- Viliama Klimáčka | studiedAt | lekárska fakulta UK v Bratislave
- Viliama Klimáčka | profession | anesteziológ","Viliama Klimáčka is known as an actress, a screenwriter, and an actress of GUnaGU theatre, and she studied at the Medical Faculty of Comenius University in Bratislava and works as an anesthesiologist.",3,3,0,"gender inferred incorrectly, although the name in accusative is unusual","[{""info_used"": ""Viliama Klimáčka is known as an actress, a screenwriter, and an actress of GUnaGU theatre"", ""correct_info"": ""Viliama Klimáčka | knownAs | herca; Viliama Klimáčka | knownAs | scenáristu; Viliama Klimáčka | knownAs | herca divadla GUnaGU"", ""comment"": ""unsupported: The sentence uses feminine forms 'actress' and 'she', but the triples use masculine forms 'herca' (actor) and 'scenáristu' (screenwriter), and the name Viliama is a masculine form. The gender is changed, introducing unsupported information.""}, {""info_used"": ""she studied at the Medical Faculty of Comenius University in Bratislava"", ""correct_info"": ""Viliama Klimáčka | studiedAt | lekárska fakulta UK v Bratislave"", ""comment"": ""unsupported: The sentence uses 'she', but the triples do not specify gender. The name Viliama is masculine, so 'she' is unsupported.""}, {""info_used"": ""works as an anesthesiologist"", ""correct_info"": ""Viliama Klimáčka | profession | anesteziológ"", ""comment"": ""unsupported: The sentence uses 'works as', which implies current employment, while the triple only states profession, which may not be current. This is an over_specific interpretation.""}]"
gemma4-31B__cs-qa_fa_en__Id509,2,en,"- Město Jeseník | namedAfter | poloha u jesenického pohoří
- poloha u jesenického pohoří | locatedNear | jesenické pohoří","Město Jeseník is named after poloha u jesenického pohoří, which is located near jesenické pohoří.",5,5,0,,[]
qwen3_5-122b__cs-qa_fa_en__Id295,4,en,"- Novodobá těžba | affects | vzhled a vývoj České Lípy
- Novodobá těžba | resourceType | uran",Modern mining affects the appearance and development of Česká Lípa and involves uranium as its resource type.,5,5,0,,"[{""info_used"": ""Modern mining affects the appearance and development of Česká Lípa"", ""correct_info"": ""Novodobá těžba | affects | vzhled a vývoj České Lípy"", ""comment"": ""unsupported: The sentence translates 'Novodobá těžba' as 'Modern mining' and 'vzhled a vývoj České Lípy' as 'the appearance and development of Česká Lípa', which is a faithful paraphrase. However, the sentence omits the subject 'Novodobá těžba' as a specific entity and instead uses a generic term, but this is a paraphrase. The claim is fully supported.""}]"
gemma4-e4b__sk-qa_fa_en__Id277,4,en,"- Bánhidské nárečie | partOf | Západoslovenská časť
- Bánhidské nárečie | isTypeOf | Slovenské nárečie
- Bánhidské nárečie | hasCharacteristicForm | venku
- Bánhidské nárečie | hasCharacteristicForm | jedenác
- Bánhidské nárečie | hasCharacteristicForm | čepec","The Bánhidské nárečie is a Slovak language that is part of the Western Slovak part and has characteristic forms such as venku, jedenác, and čepec.",5,5,0,,[]
qwen3_5-9b__sk-qa_fa_en__Id397,4,en,"- Slovensko | wonGoldMedalIn | Majstrovstvá sveta v ľadovom hokeji
- Slovensko | winningYear | 2002",Slovenia won a gold medal at the World Ice Hockey Championships in 2002.,4,4,0,Slovenia vs Slovakia,"[{""info_used"": ""Slovenia"", ""correct_info"": ""Slovensko"", ""comment"": ""wrong_object: The subject in the triples is Slovensko (Slovakia), not Slovenia.""}]"
gpt-oss-120b__cs-qa_fa_en__Id94,4,en,"- Vojtěch Zikmund | profession | chemik
- Vojtěch Zikmund | profession | podnikatel
- Vojtěch Zikmund | profession | průmyslník
- Vojtěch Zikmund | nationality | český
- Vojtěch Zikmund | foundingRole | u zrodu
- česká společnost | industry | výroba a prodej benzínu","Vojtěch Zikmund, a Czech chemist, entrepreneur and industrialist, had a founding role at the birth, and the Czech company is engaged in the production and sale of gasoline.",4,4,0,,"[{""info_used"": ""the Czech company is engaged in the production and sale of gasoline"", ""correct_info"": ""česká společnost | industry | výroba a prodej benzínu"", ""comment"": ""unsupported: The sentence attributes the industry to 'the Czech company' without establishing that this company is the same entity as Vojtěch Zikmund or otherwise linked to him in the triples. The triple states that 'česká společnost' (a Czech company) has this industry, but the sentence does not clarify the relationship between Vojtěch Zikmund and this company, making the claim unsupported by the given triples.""}]"
llama4-scout-openrouter__sk-qa_cf_en__Id422,4,en,"- Košice | hasProblematicDistrict | Ondava
- Ondava | isDistrictOf | Košice
- Ondava | hasStatus | problémová","Košice has a problematic district called Ondava, which is a district of Košice and has a status of problémová. Alternatively, more fluently: Košice has a district called Ondava, which is considered problematic. Ondava is a district of Košice.",5,5,0,"výběr za dvou možností, ta druhá je výrazně lepší",[]
gemma4-e4b__sk-qa_fa_en__Id459,4,en,- okres Sabinov | locatedIn | Prešovský kraj,The region Sabinov is located in Prešovský kraj.,4,4,0,,"[{""info_used"": ""The region Sabinov"", ""correct_info"": ""okres Sabinov | locatedIn | Prešovský kraj"", ""comment"": ""wrong_object: The triple specifies 'okres Sabinov' (district), not 'region Sabinov'.""}]"
qwen3_5-122b__cs-qa_fa_en__Id100,4,en,"- diváci | know | Radko John
- Radko John | appearsIn | Na vlastní oči
- Na vlastní oči | isA | investigativní pořad","Radko John, known as diváci, appears in Na vlastní oči, which is an investigativní pořad.",2,2,0,nepřeložený pořad,"[{""info_used"": ""Radko John, known as diváci"", ""correct_info"": ""diváci | know | Radko John"", ""comment"": ""reverse: The triple states that diváci know Radko John, not that Radko John is known as diváci.""}]"
llama4-scout-openrouter__cs-qa_cf_en__Id421,4,en,"- Gustáv Husák | isLastCommunistPresidentOf | Československo
- Gustáv Husák | position | prezident
- Gustáv Husák | startDate | 1975-01-01
- Gustáv Husák | endDate | 1945-05-31","Gustáv Husák was the last Communist president of Československo, serving from 1945-05-31 to 1975-01-01.",2,2,0,,"[{""info_used"": ""serving from 1945-05-31 to 1975-01-01"", ""correct_info"": ""Gustáv Husák | startDate | 1975-01-01 ; Gustáv Husák | endDate | 1945-05-31"", ""comment"": ""reverse: The sentence swaps the start and end dates, claiming a term from 1945 to 1975, while the triples state start 1975-01-01 and end 1945-05-31.""}]"
qwen3_5-9b__cs-qa_fa_cs__Id76,1,cs,"- Luděk Novák | isA | český historik umění
- Luděk Novák | isKnownFor | publikování studií
- publikování studií | hasTopic | český malíř
- český malíř | includes | Mánes
- český malíř | includes | Švabinský
- český malíř | includes | Machek
- Luděk Novák | founded | výtvarná skupina Trasa","Luděk Novák, který je český historik umění známý publikováním studií o českém malíři, založil výtvarnou skupinu Trasa, přičemž k českému malíři patří Mánes, Švabinský a Machek.",5,5,0,,[]
gpt-oss-120b__sk-qa_fi_en__Id258,1,en,- Národná rada Slovenskej republiky | numberOfMembers | 1520,The Národná rada Slovenskej republiky has 1520 members.,5,5,0,,[]
